Year,Province,Location,New Housing Price Index,Avg_Value,Number_of_Study_Permits_Issued,Study_Permit_To_Value_Impact_Metric,Total_Workers_Count,Number_of_Class_Titles,Most_Common_Class_Title,Workers_To_Housing_Impact_Ratio,Combined_Impact_Ratio,Avg_Total_CPI,Avg_Total_CPI_Seasonally_Adjusted,Avg_STATIC_TOTALCPICHANGE,Avg_CPI_TRIM,Avg_CPI_MEDIAN
2021,Ontario,Ontario,Land only,116.33,152280.0,1309.03,22675.0,475.0,0011 - Legislators,194.92,751.98,141.61,141.61,3.4,2.91,2.65
2017,British Columbia,"Kelowna, British Columbia",House only,101.92,108870.0,1068.19,10470.0,470.0,0011 - Legislators,102.73,585.46,130.42,130.43,1.6,1.44,1.63
2020,Manitoba,Manitoba,Total (house and land),106.33,105815.0,995.16,7230.0,409.0,0012 - Senior government managers and officials,68.0,531.58,136.96,136.95,0.73,1.77,1.88
2023,Quebec,Quebec,Land only,120.75,181960.0,1506.92,13935.0,482.0,0011 - Legislators,115.4,811.16,157.11,157.11,3.89,3.89,4.02
2018,Quebec,"Trois-Rivières, Quebec",Land only,100.0,117625.0,1176.25,17045.0,482.0,0011 - Legislators,170.45,673.35,133.38,133.36,2.27,1.94,1.88
2018,Alberta,Prairie Region,Land only,100.0,117625.0,1176.25,5060.0,436.0,0011 - Legislators,50.6,613.43,133.38,133.36,2.27,1.94,1.88
2018,Saskatchewan,"Saskatoon, Saskatchewan",Land only,99.75,117625.0,1179.2,4790.0,386.0,0012 - Senior government managers and officials,48.02,613.61,133.38,133.36,2.27,1.94,1.88
2018,Alberta,Alberta,House only,98.58,117625.0,1193.19,5060.0,436.0,0011 - Legislators,51.33,622.26,133.38,133.36,2.27,1.94,1.88
2019,,Canada,Total (house and land),102.92,126555.0,1229.64,,,,,,135.98,135.97,1.94,2.05,2.01
2019,Prince Edward Island,"Charlottetown, Prince Edward Island",Total (house and land),101.0,126555.0,1253.02,1490.0,250.0,0011 - Legislators,14.75,633.89,135.98,135.97,1.94,2.05,2.01
2023,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,104.0,181960.0,1749.62,13935.0,482.0,0011 - Legislators,133.99,941.81,157.11,157.11,3.89,3.89,4.02
2020,Nova Scotia,Atlantic Region,House only,102.75,105815.0,1029.83,4250.0,391.0,0012 - Senior government managers and officials,41.36,535.59,136.96,136.95,0.73,1.77,1.88
2020,New Brunswick,New Brunswick,Total (house and land),103.17,105815.0,1025.64,2510.0,369.0,"0013 - Senior managers - financial, communications and other business services",24.33,524.99,136.96,136.95,0.73,1.77,1.88
2021,Quebec,Quebec,Total (house and land),127.92,152280.0,1190.43,17550.0,482.0,0011 - Legislators,137.2,663.82,141.61,141.61,3.4,2.91,2.65
2022,Ontario,"St. Catharines-Niagara, Ontario",Land only,122.33,168235.0,1375.26,29435.0,475.0,0011 - Legislators,240.62,807.94,151.24,151.24,6.8,5.25,4.84
2023,Quebec,"Montréal, Quebec",Total (house and land),151.08,181960.0,1204.4,13935.0,482.0,0011 - Legislators,92.24,648.32,157.11,157.11,3.89,3.89,4.02
2016,Nova Scotia,"Halifax, Nova Scotia",Land only,99.33,103720.0,1044.2,2955.0,391.0,0012 - Senior government managers and officials,29.75,536.98,128.37,128.38,1.44,1.82,1.99
2016,Quebec,"Québec, Quebec",Total (house and land),99.5,103720.0,1042.41,12770.0,482.0,0011 - Legislators,128.34,585.38,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"St. Catharines-Niagara, Ontario",Total (house and land),97.0,103720.0,1069.28,25565.0,475.0,0011 - Legislators,263.56,666.42,128.37,128.38,1.44,1.82,1.99
2022,Saskatchewan,"Regina, Saskatchewan",House only,101.83,168235.0,1652.12,8910.0,386.0,0012 - Senior government managers and officials,87.5,869.81,151.24,151.24,6.8,5.25,4.84
2016,,Canada,Land only,98.5,103720.0,1052.99,,,,,,128.37,128.38,1.44,1.82,1.99
2017,Prince Edward Island,Prince Edward Island,Total (house and land),99.83,108870.0,1090.55,730.0,250.0,0011 - Legislators,7.31,548.93,130.42,130.43,1.6,1.44,1.63
2017,Nova Scotia,Nova Scotia,House only,100.42,108870.0,1084.15,2900.0,391.0,0012 - Senior government managers and officials,28.88,556.52,130.42,130.43,1.6,1.44,1.63
2017,Nova Scotia,"Halifax, Nova Scotia",Total (house and land),100.25,108870.0,1085.99,2900.0,391.0,0012 - Senior government managers and officials,28.93,557.46,130.42,130.43,1.6,1.44,1.63
2019,Newfoundland and Labrador,Newfoundland and Labrador,Total (house and land),97.17,126555.0,1302.41,1245.0,310.0,0012 - Senior government managers and officials,12.81,657.61,135.98,135.97,1.94,2.05,2.01
2021,Saskatchewan,"Regina, Saskatchewan",Land only,98.5,152280.0,1545.99,6115.0,386.0,0012 - Senior government managers and officials,62.08,804.04,141.61,141.61,3.4,2.91,2.65
2015,Nova Scotia,Nova Scotia,House only,98.42,96265.0,978.1,1970.0,391.0,0012 - Senior government managers and officials,20.02,499.06,126.57,126.56,1.13,1.63,1.77
2015,Ontario,"London, Ontario",House only,95.58,96265.0,1007.17,23515.0,475.0,0011 - Legislators,246.02,626.6,126.57,126.56,1.13,1.63,1.77
2018,Saskatchewan,"Regina, Saskatchewan",House only,97.83,117625.0,1202.34,4790.0,386.0,0012 - Senior government managers and officials,48.96,625.65,133.38,133.36,2.27,1.94,1.88
2021,Quebec,Quebec,Land only,115.0,152280.0,1324.17,17550.0,482.0,0011 - Legislators,152.61,738.39,141.61,141.61,3.4,2.91,2.65
2015,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,0.0,96265.0,,13220.0,482.0,0011 - Legislators,,,126.57,126.56,1.13,1.63,1.77
2016,British Columbia,"Victoria, British Columbia",House only,96.42,103720.0,1075.71,10115.0,470.0,0011 - Legislators,104.91,590.31,128.37,128.38,1.44,1.82,1.99
2017,Saskatchewan,"Regina, Saskatchewan",House only,100.0,108870.0,1088.7,4950.0,386.0,0012 - Senior government managers and officials,49.5,569.1,130.42,130.43,1.6,1.44,1.63
2018,Newfoundland and Labrador,Newfoundland and Labrador,Total (house and land),98.33,117625.0,1196.23,1100.0,310.0,0012 - Senior government managers and officials,11.19,603.71,133.38,133.36,2.27,1.94,1.88
2019,Ontario,"St. Catharines-Niagara, Ontario",House only,107.0,126555.0,1182.76,29875.0,475.0,0011 - Legislators,279.21,730.99,135.98,135.97,1.94,2.05,2.01
2020,Prince Edward Island,Prince Edward Island,Land only,100.5,105815.0,1052.89,1185.0,250.0,0011 - Legislators,11.79,532.34,136.96,136.95,0.73,1.77,1.88
2022,Prince Edward Island,"Charlottetown, Prince Edward Island",Total (house and land),121.25,168235.0,1387.51,2290.0,250.0,0011 - Legislators,18.89,703.2,151.24,151.24,6.8,5.25,4.84
2022,Nova Scotia,Nova Scotia,House only,125.5,168235.0,1340.52,8140.0,391.0,0012 - Senior government managers and officials,64.86,702.69,151.24,151.24,6.8,5.25,4.84
2022,Nova Scotia,"Halifax, Nova Scotia",Total (house and land),120.67,168235.0,1394.17,8140.0,391.0,0012 - Senior government managers and officials,67.46,730.82,151.24,151.24,6.8,5.25,4.84
2022,Alberta,"Edmonton, Alberta",House only,111.42,168235.0,1509.92,5205.0,436.0,0011 - Legislators,46.72,778.32,151.24,151.24,6.8,5.25,4.84
2023,Newfoundland and Labrador,Newfoundland and Labrador,Total (house and land),105.58,181960.0,1723.43,4520.0,310.0,0012 - Senior government managers and officials,42.81,883.12,157.11,157.11,3.89,3.89,4.02
2023,Ontario,"Windsor, Ontario",Land only,133.17,181960.0,1366.37,29680.0,475.0,0011 - Legislators,222.87,794.62,157.11,157.11,3.89,3.89,4.02
2019,Manitoba,"Winnipeg, Manitoba",House only,105.75,126555.0,1196.74,8615.0,409.0,0012 - Senior government managers and officials,81.47,639.11,135.98,135.97,1.94,2.05,2.01
2020,Quebec,"Sherbrooke, Quebec",Land only,103.0,105815.0,1027.33,14745.0,482.0,0011 - Legislators,143.16,585.25,136.96,136.95,0.73,1.77,1.88
2021,Quebec,"Québec, Quebec",Land only,105.25,152280.0,1446.84,17550.0,482.0,0011 - Legislators,166.75,806.8,141.61,141.61,3.4,2.91,2.65
2023,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),157.17,181960.0,1157.73,29680.0,475.0,0011 - Legislators,188.84,673.29,157.11,157.11,3.89,3.89,4.02
2015,Ontario,"Greater Sudbury, Ontario",Total (house and land),98.67,96265.0,975.63,23515.0,475.0,0011 - Legislators,238.32,606.98,126.57,126.56,1.13,1.63,1.77
2018,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",Land only,99.5,117625.0,1182.16,1100.0,310.0,0012 - Senior government managers and officials,11.06,596.61,133.38,133.36,2.27,1.94,1.88
2018,Ontario,"Windsor, Ontario",Land only,104.25,117625.0,1128.3,27435.0,475.0,0011 - Legislators,263.17,695.74,133.38,133.36,2.27,1.94,1.88
2019,Quebec,Quebec,House only,106.25,126555.0,1191.11,22435.0,482.0,0011 - Legislators,211.15,701.13,135.98,135.97,1.94,2.05,2.01
2015,British Columbia,"Victoria, British Columbia",House only,93.0,96265.0,1035.11,7465.0,470.0,0011 - Legislators,80.27,557.69,126.57,126.56,1.13,1.63,1.77
2019,Saskatchewan,Saskatchewan,Land only,100.92,126555.0,1254.01,5215.0,386.0,0012 - Senior government managers and officials,51.67,652.84,135.98,135.97,1.94,2.05,2.01
2022,Ontario,Ontario,Total (house and land),126.42,168235.0,1330.76,29435.0,475.0,0011 - Legislators,232.83,781.8,151.24,151.24,6.8,5.25,4.84
2016,Ontario,"Hamilton, Ontario",House only,97.42,103720.0,1064.67,25565.0,475.0,0011 - Legislators,262.42,663.55,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",House only,96.58,103720.0,1073.93,25565.0,475.0,0011 - Legislators,264.7,669.32,128.37,128.38,1.44,1.82,1.99
2018,Nova Scotia,Nova Scotia,Land only,99.83,117625.0,1178.25,3115.0,391.0,0012 - Senior government managers and officials,31.2,604.73,133.38,133.36,2.27,1.94,1.88
2016,Ontario,"St. Catharines-Niagara, Ontario",House only,96.5,103720.0,1074.82,25565.0,475.0,0011 - Legislators,264.92,669.87,128.37,128.38,1.44,1.82,1.99
2018,New Brunswick,New Brunswick,Total (house and land),100.67,117625.0,1168.42,1715.0,369.0,"0013 - Senior managers - financial, communications and other business services",17.04,592.73,133.38,133.36,2.27,1.94,1.88
2019,Ontario,"Guelph, Ontario",House only,105.83,126555.0,1195.83,29875.0,475.0,0011 - Legislators,282.29,739.06,135.98,135.97,1.94,2.05,2.01
2020,British Columbia,"Victoria, British Columbia",House only,103.58,105815.0,1021.58,7240.0,470.0,0011 - Legislators,69.9,545.74,136.96,136.95,0.73,1.77,1.88
2021,Newfoundland and Labrador,"St. John's, Newfoundland and Labrador",House only,102.67,152280.0,1483.2,1535.0,310.0,0012 - Senior government managers and officials,14.95,749.08,141.61,141.61,3.4,2.91,2.65
2022,British Columbia,"Kelowna, British Columbia",Total (house and land),123.0,168235.0,1367.76,12545.0,470.0,0011 - Legislators,101.99,734.88,151.24,151.24,6.8,5.25,4.84
2023,Ontario,"Toronto, Ontario",Land only,117.0,181960.0,1555.21,29680.0,475.0,0011 - Legislators,253.68,904.45,157.11,157.11,3.89,3.89,4.02
2023,Alberta,Prairie Region,Total (house and land),118.5,181960.0,1535.53,6605.0,436.0,0011 - Legislators,55.74,795.64,157.11,157.11,3.89,3.89,4.02
2016,Ontario,"London, Ontario",House only,98.0,103720.0,1058.37,25565.0,475.0,0011 - Legislators,260.87,659.62,128.37,128.38,1.44,1.82,1.99
2019,Ontario,"London, Ontario",Land only,101.58,126555.0,1245.87,29875.0,475.0,0011 - Legislators,294.1,769.98,135.98,135.97,1.94,2.05,2.01
2019,Alberta,"Edmonton, Alberta",House only,96.75,126555.0,1308.06,5500.0,436.0,0011 - Legislators,56.85,682.45,135.98,135.97,1.94,2.05,2.01
2020,Prince Edward Island,"Charlottetown, Prince Edward Island",Total (house and land),103.0,105815.0,1027.33,1185.0,250.0,0011 - Legislators,11.5,519.42,136.96,136.95,0.73,1.77,1.88
2020,Ontario,"Guelph, Ontario",House only,112.0,105815.0,944.78,17775.0,475.0,0011 - Legislators,158.71,551.75,136.96,136.95,0.73,1.77,1.88
2015,Quebec,"Québec, Quebec",Total (house and land),99.83,96265.0,964.29,13220.0,482.0,0011 - Legislators,132.43,548.36,126.57,126.56,1.13,1.63,1.77
2015,Manitoba,Manitoba,House only,95.75,96265.0,1005.38,4105.0,409.0,0012 - Senior government managers and officials,42.87,524.13,126.57,126.56,1.13,1.63,1.77
2016,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",Land only,99.08,103720.0,1046.83,25565.0,475.0,0011 - Legislators,258.02,652.43,128.37,128.38,1.44,1.82,1.99
2018,New Brunswick,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0,117625.0,1176.25,1715.0,369.0,"0013 - Senior managers - financial, communications and other business services",17.15,596.7,133.38,133.36,2.27,1.94,1.88
2018,British Columbia,British Columbia,Land only,104.0,117625.0,1131.01,12395.0,470.0,0011 - Legislators,119.18,625.1,133.38,133.36,2.27,1.94,1.88
2020,Quebec,"Trois-Rivières, Quebec",Total (house and land),104.17,105815.0,1015.79,14745.0,482.0,0011 - Legislators,141.55,578.67,136.96,136.95,0.73,1.77,1.88
2021,Saskatchewan,"Saskatoon, Saskatchewan",Total (house and land),102.83,152280.0,1480.89,6115.0,386.0,0012 - Senior government managers and officials,59.47,770.18,141.61,141.61,3.4,2.91,2.65
2023,Nova Scotia,Nova Scotia,Land only,103.0,181960.0,1766.6,6735.0,391.0,0012 - Senior government managers and officials,65.39,916.0,157.11,157.11,3.89,3.89,4.02
2015,Quebec,"Québec, Quebec",House only,100.17,96265.0,961.02,13220.0,482.0,0011 - Legislators,131.98,546.5,126.57,126.56,1.13,1.63,1.77
2015,British Columbia,"Victoria, British Columbia",Total (house and land),94.83,96265.0,1015.13,7465.0,470.0,0011 - Legislators,78.72,546.93,126.57,126.56,1.13,1.63,1.77
2017,Ontario,"Toronto, Ontario",Total (house and land),103.08,108870.0,1056.17,26770.0,475.0,0011 - Legislators,259.7,657.94,130.42,130.43,1.6,1.44,1.63
2020,Alberta,Alberta,House only,95.0,105815.0,1113.84,6200.0,436.0,0011 - Legislators,65.26,589.55,136.96,136.95,0.73,1.77,1.88
2021,Nova Scotia,Nova Scotia,Land only,103.0,152280.0,1478.45,7055.0,391.0,0012 - Senior government managers and officials,68.5,773.48,141.61,141.61,3.4,2.91,2.65
2022,Ontario,Ontario,House only,130.08,168235.0,1293.32,29435.0,475.0,0011 - Legislators,226.28,759.8,151.24,151.24,6.8,5.25,4.84
2015,Ontario,"Windsor, Ontario",House only,95.0,96265.0,1013.32,23515.0,475.0,0011 - Legislators,247.53,630.43,126.57,126.56,1.13,1.63,1.77
2016,Ontario,"Oshawa, Ontario",Total (house and land),8.33,103720.0,12451.38,25565.0,475.0,0011 - Legislators,3069.03,7760.21,128.37,128.38,1.44,1.82,1.99
2017,Ontario,"Toronto, Ontario",House only,102.08,108870.0,1066.52,26770.0,475.0,0011 - Legislators,262.25,664.39,130.42,130.43,1.6,1.44,1.63
2017,British Columbia,"Vancouver, British Columbia",House only,104.83,108870.0,1038.54,10470.0,470.0,0011 - Legislators,99.88,569.21,130.42,130.43,1.6,1.44,1.63
2019,Ontario,"Toronto, Ontario",Total (house and land),102.25,126555.0,1237.7,29875.0,475.0,0011 - Legislators,292.18,764.94,135.98,135.97,1.94,2.05,2.01
2019,Ontario,"Guelph, Ontario",Total (house and land),105.25,126555.0,1202.42,29875.0,475.0,0011 - Legislators,283.85,743.14,135.98,135.97,1.94,2.05,2.01
2020,Ontario,Ontario,Total (house and land),107.08,105815.0,988.19,17775.0,475.0,0011 - Legislators,166.0,577.1,136.96,136.95,0.73,1.77,1.88
2022,Manitoba,"Winnipeg, Manitoba",Land only,110.0,168235.0,1529.41,4250.0,409.0,0012 - Senior government managers and officials,38.64,784.03,151.24,151.24,6.8,5.25,4.84
2017,Nova Scotia,"Halifax, Nova Scotia",Land only,99.25,108870.0,1096.93,2900.0,391.0,0012 - Senior government managers and officials,29.22,563.08,130.42,130.43,1.6,1.44,1.63
2019,Ontario,"Hamilton, Ontario",Total (house and land),103.58,126555.0,1221.81,29875.0,475.0,0011 - Legislators,288.42,755.12,135.98,135.97,1.94,2.05,2.01
2020,,Canada,Total (house and land),104.92,105815.0,1008.53,,,,,,136.96,136.95,0.73,1.77,1.88
2020,British Columbia,"Kelowna, British Columbia",House only,106.25,105815.0,995.91,7240.0,470.0,0011 - Legislators,68.14,532.03,136.96,136.95,0.73,1.77,1.88
2015,Ontario,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.42,96265.0,978.1,23515.0,475.0,0011 - Legislators,238.93,608.52,126.57,126.56,1.13,1.63,1.77
2016,Ontario,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),98.92,103720.0,1048.52,25565.0,475.0,0011 - Legislators,258.44,653.48,128.37,128.38,1.44,1.82,1.99
2018,Ontario,"Hamilton, Ontario",Land only,100.25,117625.0,1173.32,27435.0,475.0,0011 - Legislators,273.67,723.5,133.38,133.36,2.27,1.94,1.88
2020,Newfoundland and Labrador,Newfoundland and Labrador,Land only,99.0,105815.0,1068.84,985.0,310.0,0012 - Senior government managers and officials,9.95,539.4,136.96,136.95,0.73,1.77,1.88
2020,Quebec,"Québec, Quebec",Total (house and land),101.58,105815.0,1041.69,14745.0,482.0,0011 - Legislators,145.16,593.43,136.96,136.95,0.73,1.77,1.88
2022,Ontario,"Greater Sudbury, Ontario",Land only,118.58,168235.0,1418.75,29435.0,475.0,0011 - Legislators,248.23,833.49,151.24,151.24,6.8,5.25,4.84
2023,Quebec,"Trois-Rivières, Quebec",House only,112.17,181960.0,1622.18,13935.0,482.0,0011 - Legislators,124.23,873.21,157.11,157.11,3.89,3.89,4.02
2016,Ontario,"Guelph, Ontario",Land only,8.33,103720.0,12451.38,25565.0,475.0,0011 - Legislators,3069.03,7760.21,128.37,128.38,1.44,1.82,1.99
2017,Quebec,"Québec, Quebec",Land only,100.0,108870.0,1088.7,15475.0,482.0,0011 - Legislators,154.75,621.73,130.42,130.43,1.6,1.44,1.63
2020,Nova Scotia,Atlantic Region,Land only,100.92,105815.0,1048.5,4250.0,391.0,0012 - Senior government managers and officials,42.11,545.31,136.96,136.95,0.73,1.77,1.88
2020,Quebec,"Québec, Quebec",House only,101.67,105815.0,1040.77,14745.0,482.0,0011 - Legislators,145.03,592.9,136.96,136.95,0.73,1.77,1.88
2020,Ontario,"Guelph, Ontario",Land only,106.08,105815.0,997.5,17775.0,475.0,0011 - Legislators,167.56,582.53,136.96,136.95,0.73,1.77,1.88
2021,British Columbia,British Columbia,Total (house and land),119.5,152280.0,1274.31,9615.0,470.0,0011 - Legislators,80.46,677.39,141.61,141.61,3.4,2.91,2.65
2022,Manitoba,"Winnipeg, Manitoba",House only,155.42,168235.0,1082.45,4250.0,409.0,0012 - Senior government managers and officials,27.35,554.9,151.24,151.24,6.8,5.25,4.84
2023,British Columbia,"Vancouver, British Columbia",Total (house and land),127.67,181960.0,1425.24,13760.0,470.0,0011 - Legislators,107.78,766.51,157.11,157.11,3.89,3.89,4.02
2015,Nova Scotia,Nova Scotia,Land only,98.92,96265.0,973.16,1970.0,391.0,0012 - Senior government managers and officials,19.92,496.54,126.57,126.56,1.13,1.63,1.77
2015,Ontario,"St. Catharines-Niagara, Ontario",Land only,98.0,96265.0,982.3,23515.0,475.0,0011 - Legislators,239.95,611.13,126.57,126.56,1.13,1.63,1.77
2017,British Columbia,British Columbia,House only,104.17,108870.0,1045.12,10470.0,470.0,0011 - Legislators,100.51,572.81,130.42,130.43,1.6,1.44,1.63
2018,Manitoba,Manitoba,House only,104.67,117625.0,1123.77,8325.0,409.0,0012 - Senior government managers and officials,79.54,601.66,133.38,133.36,2.27,1.94,1.88
2018,British Columbia,"Vancouver, British Columbia",Total (house and land),108.25,117625.0,1086.61,12395.0,470.0,0011 - Legislators,114.5,600.56,133.38,133.36,2.27,1.94,1.88
2022,Prince Edward Island,Prince Edward Island,Land only,103.83,168235.0,1620.29,2290.0,250.0,0011 - Legislators,22.06,821.18,151.24,151.24,6.8,5.25,4.84
2016,Nova Scotia,Nova Scotia,Total (house and land),98.83,103720.0,1049.48,2955.0,391.0,0012 - Senior government managers and officials,29.9,539.69,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"Windsor, Ontario",Total (house and land),96.75,103720.0,1072.04,25565.0,475.0,0011 - Legislators,264.24,668.14,128.37,128.38,1.44,1.82,1.99
2020,British Columbia,British Columbia,Total (house and land),107.67,105815.0,982.77,7240.0,470.0,0011 - Legislators,67.24,525.01,136.96,136.95,0.73,1.77,1.88
2023,Ontario,"Toronto, Ontario",Total (house and land),114.75,181960.0,1585.71,29680.0,475.0,0011 - Legislators,258.65,922.18,157.11,157.11,3.89,3.89,4.02
2016,Ontario,"Hamilton, Ontario",Land only,100.0,103720.0,1037.2,25565.0,475.0,0011 - Legislators,255.65,646.43,128.37,128.38,1.44,1.82,1.99
2017,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",House only,101.83,108870.0,1069.13,26770.0,475.0,0011 - Legislators,262.89,666.01,130.42,130.43,1.6,1.44,1.63
2018,Ontario,"Kitchener-Cambridge-Waterloo, Ontario",House only,102.67,117625.0,1145.66,27435.0,475.0,0011 - Legislators,267.22,706.44,133.38,133.36,2.27,1.94,1.88
2020,Nova Scotia,Nova Scotia,Land only,101.67,105815.0,1040.77,4250.0,391.0,0012 - Senior government managers and officials,41.8,541.29,136.96,136.95,0.73,1.77,1.88
2020,Manitoba,"Winnipeg, Manitoba",Total (house and land),106.33,105815.0,995.16,7230.0,409.0,0012 - Senior government managers and officials,68.0,531.58,136.96,136.95,0.73,1.77,1.88
2021,Saskatchewan,"Saskatoon, Saskatchewan",House only,103.5,152280.0,1471.3,6115.0,386.0,0012 - Senior government managers and officials,59.08,765.19,141.61,141.61,3.4,2.91,2.65
2017,Quebec,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,100.0,108870.0,1088.7,15475.0,482.0,0011 - Legislators,154.75,621.73,130.42,130.43,1.6,1.44,1.63
2018,Newfoundland and Labrador,Newfoundland and Labrador,Land only,99.5,117625.0,1182.16,1100.0,310.0,0012 - Senior government managers and officials,11.06,596.61,133.38,133.36,2.27,1.94,1.88
2019,Ontario,"London, Ontario",Total (house and land),112.75,126555.0,1122.44,29875.0,475.0,0011 - Legislators,264.97,693.71,135.98,135.97,1.94,2.05,2.01
2020,Ontario,"Greater Sudbury, Ontario",Total (house and land),102.67,105815.0,1030.63,17775.0,475.0,0011 - Legislators,173.13,601.88,136.96,136.95,0.73,1.77,1.88
2020,Alberta,"Edmonton, Alberta",House only,95.92,105815.0,1103.16,6200.0,436.0,0011 - Legislators,64.64,583.9,136.96,136.95,0.73,1.77,1.88
2023,Quebec,"Sherbrooke, Quebec",Land only,105.5,181960.0,1724.74,13935.0,482.0,0011 - Legislators,132.09,928.42,157.11,157.11,3.89,3.89,4.02
2023,Alberta,Prairie Region,House only,124.58,181960.0,1460.59,6605.0,436.0,0011 - Legislators,53.02,756.81,157.11,157.11,3.89,3.89,4.02
2016,Newfoundland and Labrador,Newfoundland and Labrador,Land only,99.67,103720.0,1040.63,1180.0,310.0,0012 - Senior government managers and officials,11.84,526.24,128.37,128.38,1.44,1.82,1.99
2016,Ontario,"Guelph, Ontario",House only,8.33,103720.0,12451.38,25565.0,475.0,0011 - Legislators,3069.03,7760.21,128.37,128.38,1.44,1.82,1.99
2019,Nova Scotia,Atlantic Region,Total (house and land),100.0,126555.0,1265.55,4485.0,391.0,0012 - Senior government managers and officials,44.85,655.2,135.98,135.97,1.94,2.05,2.01
2019,Ontario,"Greater Sudbury, Ontario",Land only,100.42,126555.0,1260.26,29875.0,475.0,0011 - Legislators,297.5,778.88,135.98,135.97,1.94,2.05,2.01
2020,Saskatchewan,"Saskatoon, Saskatchewan",Total (house and land),96.08,105815.0,1101.32,4500.0,386.0,0012 - Senior government managers and officials,46.84,574.08,136.96,136.95,0.73,1.77,1.88
2023,Ontario,"Windsor, Ontario",House only,146.33,181960.0,1243.49,29680.0,475.0,0011 - Legislators,202.83,723.16,157.11,157.11,3.89,3.89,4.02
2019,Quebec,"Montréal, Quebec",Total (house and land),106.92,126555.0,1183.64,22435.0,482.0,0011 - Legislators,209.83,696.74,135.98,135.97,1.94,2.05,2.01
